sender,recipient,amount_eth,risk
0x07FC31,0x0F33D1,3.4595,safe
0x0A80F8,0x0807F6,0.9419,safe
0x0A4F63,0x0E57B6,3.1561,safe
0x074DC2,0x0CC882,2.4643,safe
0x0CCE0A,0x0A8E4B,0.9004,safe
0x034ECF,0x0D8F07,1.897,safe
0x040ABF,0x064EC6,1.4041,safe
0x05A020,0x00A437,4.426,safe
0x0E8AF5,0x06AAE5,4.6735,safe
0x030AD0,0x0B47AF,0.8389,safe
0x0B6DAA,0x026F1B,1.7696,safe
0x0A8848,0x035AC1,2.6747,safe
0x0BFF60,0x0A18F6,3.2146,safe
0x013038,0x0E5C36,2.9043,safe
0x0313D4,0x037BFB,3.0343,safe
0x0F1CAF,0x0DC794,4.0378,safe
0x053D98,0x0CECEA,0.0292,safe
0x0DB7F5,0x07AFB0,0.6771,safe
0x0D824D,0x0D21E3,2.6029,safe
0x02593C,0x02E161,3.8462,safe
0x0D9ED2,0x06AC81,2.098,safe
0x0194EB,0x0E3BDC,1.4369,safe
0x0ED73B,0x07B7F9,0.9702,safe
0x0C43BB,0x0AE10C,1.0968,safe
0x06B645,0x0D4255,0.7832,safe
0x0A3C43,0x07091B,1.3923,safe
0x0A8130,0x05CBED,3.819,safe
0x033213,0x093AA4,4.6852,safe
0x08A423,0x015289,1.2022,safe
0x0B2F22,0x0422AC,3.6446,safe
0x0590C8,0x023064,1.2879,safe
0x05269B,0x0D3039,0.3688,safe
0x09318B,0x05C5D4,2.3217,safe
0x052F3D,0x05A64D,3.9399,safe
0x0D9E43,0x0B4021,1.9416,safe
0x0DBEB6,0x02F506,4.1835,safe
0x00FEE0,0x041D13,4.9297,safe
0x0416CB,0x06AAE8,1.7086,safe
0x0C0CE9,0x036748,2.387,safe
0x098DAC,0x001316,3.9514,safe
0x0031E2,0x0ED582,2.7809,safe
0x012B18,0x074AC0,0.1335,safe
0x0AB4F2,0x06134C,3.0891,safe
0x07538D,0x05462A,3.1854,safe
0x0CF3BD,0x00CC09,0.3591,safe
0x0E16D2,0x0B24CA,2.1252,safe
0x0D0C86,0x0C86A8,0.2689,safe
0x06722B,0x06A82B,4.4243,safe
0x0CA698,0x047A7D,1.4856,safe
0x0A572A,0x03A959,1.6142,safe
0x0483DD,0x032181,3.0137,safe
0x07ABC1,0x0EE5C7,0.1076,safe
0x08B2C0,0x09815D,1.2322,safe
0x0BD67D,0x0DC60E,3.3278,safe
0x09B1B7,0x0B07A1,1.1733,safe
0x0A0E3E,0x063626,1.0655,safe
0x0D9F0C,0x097FFF,1.304,safe
0x0868BA,0x0262AD,2.0542,safe
0x08D82E,0x012D59,4.5605,safe
0x00F9A9,0x0EAE23,1.5177,safe
0x0A7744,0x0CA6EA,2.7796,safe
0x077219,0x0AF312,2.742,safe
0x063F2D,0x0855E2,4.8343,safe
0x08BCC7,0x0B9C46,1.8219,safe
0x077276,0x0B0017,1.8604,safe
0x0D0D8D,0x081C48,1.2805,safe
0x05A154,0x0C3F67,1.9001,safe
0x0C9FD2,0x092247,4.6936,safe
0x05977E,0x078335,1.279,safe
0x042574,0x012841,2.0132,safe
0x0AA167,0x09BB6A,1.8822,safe
0x01BA50,0x0DA50C,3.6566,safe
0x0B0BCF,0x0523AD,2.802,safe
0x08B9E2,0x0D4CF3,2.0112,safe
0x0D7613,0x074FB7,0.5037,safe
0x07EA2B,0x06D6DB,1.1641,safe
0x07CEA8,0x04D6AA,0.1297,safe
0x0DD375,0x024F05,2.7809,safe
0x086D74,0x0A9EFA,2.7286,safe
0x01EC22,0x07A7BC,4.3347,safe
